PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SC,m,1960-1964,0,0.03722,0.03607,0.14,100000,3607,96916,6315141,63.15
SC,m,1960-1964,1-4,0.00171,0.00680,1.52,96393,655,383944,6218225,64.51
SC,m,1960-1964,5-9,0.00070,0.00350,2.29,95738,335,477781,5834281,60.94
SC,m,1960-1964,10-14,0.00074,0.00368,2.8,95403,352,476241,5356500,56.15
SC,m,1960-1964,15-19,0.00154,0.00769,2.78,95051,731,473631,4880258,51.34
SC,m,1960-1964,20-24,0.00214,0.01063,2.57,94320,1003,469162,4406628,46.72
SC,m,1960-1964,25-29,0.00253,0.01256,2.51,93318,1172,463671,3937466,42.19
SC,m,1960-1964,30-34,0.00314,0.01559,2.57,92145,1437,457234,3473795,37.70
SC,m,1960-1964,35-39,0.00454,0.02246,2.67,90709,2037,448800,3016561,33.26
SC,m,1960-1964,40-44,0.00715,0.03516,2.7,88671,3118,436183,2567761,28.96
SC,m,1960-1964,45-49,0.01083,0.05280,2.63,85554,4517,417063,2131578,24.92
SC,m,1960-1964,50-54,0.01660,0.07981,2.6,81036,6468,389657,1714516,21.16
SC,m,1960-1964,55-59,0.02423,0.11441,2.57,74569,8531,352143,1324858,17.77
SC,m,1960-1964,60-64,0.03713,0.17012,2.54,66037,11234,302530,972715,14.73
SC,m,1960-1964,65-69,0.05143,0.22747,2.46,54803,12466,242393,670185,12.23
SC,m,1960-1964,70-74,0.06547,0.27985,2.41,42337,11848,180966,427791,10.10
SC,m,1960-1964,75-79,0.08148,0.33742,2.45,30489,10288,126254,246826,8.10
SC,m,1960-1964,80-84,0.14076,0.51129,2.33,20201,10329,73379,120572,5.97
SC,m,1960-1964,85-89,0.18594,0.61414,2.24,9873,6063,32608,47193,4.78
SC,m,1960-1964,90-94,0.24245,0.71341,2.12,3809,2718,11209,14585,3.83
SC,m,1960-1964,95-99,0.30933,0.79927,1.98,1092,873,2821,3376,3.09
SC,m,1960-1964,100-104,0.38511,0.86653,1.83,219,190,493,555,2.53
SC,m,1960-1964,105-109,0.46688,0.91448,1.67,29,27,57,62,2.12
SC,m,1960-1964,110+,0.53376,1.00000,1.87,3,3,5,5,1.87
SC,m,1965-1969,0,0.03178,0.03093,0.13,100000,3093,97310,6321070,63.21
SC,m,1965-1969,1-4,0.00159,0.00632,1.56,96907,613,386133,6223759,64.22
SC,m,1965-1969,5-9,0.00065,0.00322,2.49,96294,310,480692,5837626,60.62
SC,m,1965-1969,10-14,0.00072,0.00360,2.83,95984,345,479173,5356934,55.81
SC,m,1965-1969,15-19,0.00171,0.00851,2.77,95639,814,476381,4877761,51.00
SC,m,1965-1969,20-24,0.00245,0.01216,2.48,94825,1153,471221,4401380,46.42
SC,m,1965-1969,25-29,0.00256,0.01273,2.56,93672,1193,465444,3930159,41.96
SC,m,1965-1969,30-34,0.00350,0.01736,2.55,92479,1605,458466,3464715,37.46
SC,m,1965-1969,35-39,0.00450,0.02225,2.68,90873,2022,449668,3006249,33.08
SC,m,1965-1969,40-44,0.00720,0.03541,2.62,88851,3146,436767,2556580,28.77
SC,m,1965-1969,45-49,0.01078,0.05256,2.63,85705,4505,417870,2119814,24.73
SC,m,1965-1969,50-54,0.01698,0.08159,2.62,81200,6625,390221,1701944,20.96
SC,m,1965-1969,55-59,0.02466,0.11630,2.56,74575,8673,351738,1311723,17.59
SC,m,1965-1969,60-64,0.03572,0.16421,2.55,65902,10822,302994,959985,14.57
SC,m,1965-1969,65-69,0.05324,0.23462,2.47,55080,12923,242744,656992,11.93
SC,m,1965-1969,70-74,0.07036,0.29838,2.45,42157,12579,178772,414248,9.83
SC,m,1965-1969,75-79,0.09042,0.36564,2.38,29578,10815,119605,235477,7.96
SC,m,1965-1969,80-84,0.13156,0.48859,2.37,18763,9168,69681,115871,6.18
SC,m,1965-1969,85-89,0.18319,0.60905,2.25,9596,5844,31902,46190,4.81
SC,m,1965-1969,90-94,0.24302,0.71489,2.12,3751,2682,11035,14287,3.81
SC,m,1965-1969,95-99,0.31454,0.80543,1.97,1070,861,2739,3252,3.04
SC,m,1965-1969,100-104,0.39591,0.87468,1.81,208,182,460,513,2.47
SC,m,1965-1969,105-109,0.48349,0.92235,1.65,26,24,50,53,2.05
SC,m,1965-1969,110+,0.55514,1.00000,1.8,2,2,4,4,1.80
SC,m,1970-1974,0,0.02570,0.02513,0.11,100000,2513,97774,6417754,64.18
SC,m,1970-1974,1-4,0.00097,0.00386,1.68,97487,377,389075,6319980,64.83
SC,m,1970-1974,5-9,0.00066,0.00332,2.41,97111,322,484719,5930905,61.07
SC,m,1970-1974,10-14,0.00069,0.00343,2.7,96789,332,483179,5446186,56.27
SC,m,1970-1974,15-19,0.00180,0.00898,2.75,96457,866,480333,4963007,51.45
SC,m,1970-1974,20-24,0.00238,0.01181,2.53,95590,1129,475170,4482674,46.89
